movie_id,title,budget,revenue,return
862,Toy Story,30000000.0,373554033.0,12.4518011
8844,Jumanji,65000000.0,262797249.0,4.0430346
15602,Grumpier Old Men,0.0,0.0,0.0
31357,Waiting To Exhale,16000000.0,81452156.0,5.09075975
11862,Father Of The Bride Part Ii,0.0,76578911.0,0.0
949,Heat,60000000.0,187436818.0,3.123946966666667
11860,Sabrina,58000000.0,0.0,0.0
45325,Tom And Huck,0.0,0.0,0.0
9091,Sudden Death,35000000.0,64350171.0,1.8385763142857143
710,Goldeneye,58000000.0,352194034.0,6.072310931034483
9087,The American President,62000000.0,107879496.0,1.739991870967742
12110,Dracula: Dead And Loving It,0.0,0.0,0.0
21032,Balto,0.0,11348324.0,0.0
10858,Nixon,44000000.0,13681765.0,0.31094920454545455
1408,Cutthroat Island,98000000.0,10017322.0,0.10221757142857144
524,Casino,52000000.0,116112375.0,2.2329302884615383
4584,Sense And Sensibility,16500000.0,135000000.0,8.181818181818182
5,Four Rooms,4000000.0,4300000.0,1.075
9273,Ace Ventura: When Nature Calls,30000000.0,212385533.0,7.079517766666667
11517,Money Train,60000000.0,35431113.0,0.59051855
8012,Get Shorty,30250000.0,115101622.0,3.805012297520661
1710,Copycat,0.0,0.0,0.0
9691,Assassins,50000000.0,30303072.0,0.60606144
12665,Powder,0.0,0.0,0.0
451,Leaving Las Vegas,3600000.0,49800000.0,13.833333333333334
16420,Othello,0.0,0.0,0.0
9263,Now And Then,12000000.0,27400000.0,2.283333333333333
17015,Persuasion,0.0,0.0,0.0
902,The City Of Lost Children,18000000.0,1738611.0,0.0965895
37557,Shanghai Triad,0.0,0.0,0.0
9909,Dangerous Minds,0.0,180000000.0,0.0
63,Twelve Monkeys,29500000.0,168840000.0,5.7233898305084745
78802,Wings Of Courage,0.0,0.0,0.0
9598,Babe,30000000.0,254134910.0,8.471163666666667
47018,Carrington,0.0,0.0,0.0
687,Dead Man Walking,11000000.0,39363635.0,3.5785122727272727
139405,Across The Sea Of Time,0.0,0.0,0.0
33689,It Takes Two,0.0,0.0,0.0
9603,Clueless,12000000.0,0.0,0.0
34615,"Cry, The Beloved Country",0.0,676525.0,0.0
31174,Richard Iii,0.0,0.0,0.0
11443,Dead Presidents,10000000.0,0.0,0.0
35196,Restoration,19000000.0,0.0,0.0
9312,Mortal Kombat,18000000.0,122195920.0,6.788662222222222
577,To Die For,20000000.0,21284514.0,1.0642257
11861,How To Make An American Quilt,10000000.0,23574130.0,2.357413
807,Se7En,33000000.0,327311859.0,9.918541181818181
